clean_products,clean_current_price,clean_old_price,clean_discount_percentage,clean_reviews_count,clean_rating_out_of 5
Lasa Digital Thermometer And Hydrometer,KSh501.00 ,KSh860.00 ,38%,6,4.5
Lasa Folding Table Serving Stand,"KSh1,274.00 ","KSh2,800.00 ",37%,5,4.8
Lasa Stainless Steel Double Wall Mount Soap Dispenser - 500Ml,"KSh2,750.00 ","KSh4,471.00 ",37%,,
"Led Eye Protection Desk Lamp , Study, Reading, Usb Fan - Double Pen Holder","KSh1,820.00 ","KSh3,490.00 ",36%,9,4.3
"Led Romantic Spaceship Starry Sky Projector,Children'S Bedroom Night Light-Blue",KSh880.00 ,"KSh1,350.00 ",35%,6,4.0
Led Solar Street Light-Fake Camera,"KSh1,150.00 ","KSh1,737.00 ",35%,,
Led Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,"KSh2,999.00 ","KSh3,699.00 ",34%,5,4.6
"Memory Foam Neck Pillow Cover, With Pillow Core - 50*30Cm","KSh1,189.00 ","KSh2,199.00 ",34%,1,3.0
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,KSh527.00 ,KSh999.00 ,34%,14,4.1
Metal Wall Clock Silver Dial Crystal Jewelry Round Home Decoration Wall Clock,"KSh3,546.00 ","KSh3,699.00 ",34%,,
Modern Sofa Throw Pillow Cover-45X45Cm-Blue&Red,KSh238.00 ,KSh476.00 ,33%,,
Multi-Purpose Rice Drainage Basket And Fruit And Vegetable Drainage Sieve,"KSh1,459.00 ","KSh1,499.00 ",33%,,
Multifunction Laser Level With Adjustment Tripod,"KSh1,680.00 ","KSh2,499.00 ",32%,9,4.2
Multifunctional Hanging Storage Box Storage Bag (4 Layers),KSh630.00 ,"KSh1,100.00 ",30%,,
Multifunctional Storage Rack Multi-Layer Bookshelf,"KSh2,200.00 ","KSh4,080.00 ",3%,,
Mythco 120Cob Solar Wall Ligt With Motion Sensor And Remote Control 3 Modes,KSh458.00 ,KSh986.00 ,29%,10,3.0
Office Chair Lumbar Back Support Spine Posture Correction Pillow Car Cushion,"KSh1,466.00 ","KSh1,699.00 ",27%,,
Outdoor Portable Water Bottle With Medicine Box - 600Ml - Black,KSh799.00 ,KSh900.00 ,27%,,
Peacock Throw Pillow Cushion Case For Home Car,KSh195.00 ,KSh360.00 ,27%,2,5.0
Pen Grips For Kids Pen Grip Posture Correction Tool For Kids,"KSh1,660.00 ","KSh1,699.00 ",26%,,
Pilates Cloth Bag Waterproof Durable High Capacity Purple,KSh299.00 ,KSh384.00 ,25%,,
Portable Home Small Air Humidifier 3-Speed Fan - Green,"KSh1,740.00 ","KSh2,356.00 ",24%,5,4.8
Portable Mini Cordless Car Vacuum Cleaner - Blue,"KSh2,199.00 ","KSh2,923.00 ",24%,24,4.6
Portable Soap Dispenser Kitchen Detergent Press Box Kitchen Tools,"KSh1,462.00 ","KSh1,499.00 ",23%,,
Portable Wardrobe Nonwoven With 3 Hanging Rods And 6 Storage Shelves,"KSh2,880.00 ","KSh3,520.00 ",22%,12,3.8
Portable Wine Table With Folding Round Table,"KSh1,300.00 ","KSh2,500.00 ",22%,,
Punch-Free Great Load Bearing Bathroom Storage Rack Wall Shelf-White,KSh389.00 ,KSh656.00 ,21%,36,4.3
Sewing Machine Needle Threader Stitch Insertion Tool Automatic Quick Sewing,KSh105.00 ,KSh200.00 ,20%,,
Shower Cap Wide Elastic Band Cover Reusable Bashroom Cap,"KSh2,132.00 ","KSh2,169.00 ",2%,,
Shower Nozzle Cleaning Unclogging Needle Mini Crevice Small Hole Cleaning Brush,"KSh1,658.00 ","KSh1,699.00 ",2%,,
Simple Metal Dog Art Sculpture Decoration For Home Office,KSh499.00 ,KSh900.00 ,2%,,
Simple Metal Dog Art Sculpture Decoration For Home Office,KSh399.00 ,KSh896.00 ,2%,,
Thickening Multipurpose Non Stick Easy To Clean Heat Resistant Spoon Pad,"KSh1,768.00 ","KSh1,799.00 ",2%,,
Vic Wireless Vacuum Cleaner Dual Use For Home And Car 120W High Power Powerful,"KSh1,220.00 ","KSh1,555.00 ",2%,16,2.9
Wall Clock With Hidden Safe Box,KSh850.00 ,"KSh1,700.00 ",19%,,
Wall Mount Automatic Toothpaste Dispenser Toothbrush Holder Toothpaste Squeezer,"KSh1,526.00 ","KSh1,660.00 ",18%,,
Wall-Mounted Sticker Punch-Free Plug Fixer,KSh450.00 ,KSh900.00 ,14%,1,2.0
Wall-Mounted Toothbrush Toothpaste Holder With Multiple Slots,"KSh1,468.00 ","KSh1,699.00 ",14%,,
Watercolour Gold Foil Textured Print Pillow Cover,KSh345.00 ,KSh602.00 ,13%,6,2.3
Weighing Scale Digital Bathroom Body Fat Scale Usb-Black,"KSh1,580.00 ","KSh2,499.00 ",11%,7,4.7
Wrought Iron Bathroom Shelf Wall Mounted Free Punch Toilet Rack,KSh509.00 ,KSh899.00 ,1%,5,3.0
